label,v1,v2,v3,v4
bexam,5.4,3.0,4.5,1.5
bexam,6.0,3.4,4.5,1.6
bexam,6.7,3.1,4.7,1.5
bexam,6.3,2.3,4.4,1.3
bexam,5.6,3.0,4.1,1.3
bexam,5.5,2.5,4.0,1.3
bexam,5.5,2.6,4.4,1.2
bexam,6.1,3.0,4.6,1.4
bexam,5.8,2.6,4.0,1.2
bexam,5.0,2.3,3.3,1.0
bexam,5.6,2.7,4.2,1.3
bexam,5.7,3.0,4.2,1.2
bexam,5.7,2.9,4.2,1.3
bexam,6.2,2.9,4.3,1.3
bexam,5.1,2.5,3.0,1.1
bexam,5.7,2.8,4.1,1.3
clearn,6.3,3.3,6.0,2.5
clearn,5.8,2.7,5.1,1.9
clearn,7.1,3.0,5.9,2.1
clearn,6.3,2.9,5.6,1.8
clearn,6.5,3.0,5.8,2.2
clearn,7.6,3.0,6.6,2.1
clearn,4.9,2.5,4.5,1.7
clearn,7.3,2.9,6.3,1.8
clearn,6.7,2.5,5.8,1.8
clearn,7.2,3.6,6.1,2.5
clearn,6.5,3.2,5.1,2.0
clearn,6.4,2.7,5.3,1.9
clearn,6.8,3.0,5.5,2.1
clearn,5.7,2.5,5.0,2.0
clearn,5.8,2.8,5.1,2.4
clearn,6.4,3.2,5.3,2.3
clearn,6.5,3.0,5.5,1.8
clearn,7.7,3.8,6.7,2.2
clearn,7.7,2.6,6.9,2.3
clearn,6.0,2.2,5.0,1.5
cexam,6.9,3.2,5.7,2.3
cexam,5.6,2.8,4.9,2.0
cexam,7.7,2.8,6.7,2.0
cexam,6.3,2.7,4.9,1.8
cexam,6.7,3.3,5.7,2.1
cexam,7.2,3.2,6.0,1.8
cexam,6.2,2.8,4.8,1.8
cexam,6.1,3.0,4.9,1.8
cexam,6.4,2.8,5.6,2.1
cexam,7.2,3.0,5.8,1.6
cexam,7.4,2.8,6.1,1.9
cexam,7.9,3.8,6.4,2.0
cexam,6.4,2.8,5.6,2.2
cexam,6.3,2.8,5.1,1.5
cexam,6.1,2.6,5.6,1.4
cexam,7.7,3.0,6.1,2.3
cexam,6.3,3.4,5.6,2.4
cexam,6.4,3.1,5.5,1.8
cexam,6.0,3.0,4.8,1.8
cexam,6.9,3.1,5.4,2.1
cexam,6.7,3.1,5.6,2.4
cexam,6.9,3.1,5.1,2.3
cexam,5.8,2.7,5.1,1.9
cexam,6.8,3.2,5.9,2.3
cexam,6.7,3.3,5.7,2.5
cexam,6.7,3.0,5.2,2.3
cexam,6.3,2.5,5.0,1.9
cexam,6.5,3.0,5.2,2.0
cexam,6.2,3.4,5.4,2.3
cexam,5.9,3.0,5.1,1.8

